parking_yard_id,capacity,occcupancy,last_update
BHMBCCMKT01,577,61,10/4/2016 7:59
BHMBCCMKT01,577,64,10/4/2016 8:25
BHMBCCMKT01,577,80,10/4/2016 8:59
BHMBCCMKT01,577,107,10/4/2016 9:32
BHMBCCMKT01,577,150,10/4/2016 9:59
BHMBCCMKT01,577,177,10/4/2016 10:26
BHMBCCMKT01,577,219,10/4/2016 10:59
BHMBCCMKT01,577,247,10/4/2016 11:25
BHMBCCMKT01,577,259,10/4/2016 11:59
BHMBCCMKT01,577,266,10/4/2016 12:29
BHMBCCMKT01,577,269,10/4/2016 13:02
BHMBCCMKT01,577,263,10/4/2016 13:29
BHMBCCMKT01,577,238,10/4/2016 14:02
BHMBCCMKT01,577,215,10/4/2016 14:29
BHMBCCMKT01,577,192,10/4/2016 14:57
BHMBCCMKT01,577,165,10/4/2016 15:30
BHMBCCMKT01,577,162,10/4/2016 16:04
BHMBCCMKT01,577,143,10/4/2016 16:31
BHMBCCMKT01,577,54,10/5/2016 7:57
BHMBCCMKT01,577,59,10/5/2016 8:30
BHMBCCMKT01,577,71,10/5/2016 9:04
BHMBCCMKT01,577,83,10/5/2016 9:30
BHMBCCMKT01,577,114,10/5/2016 10:04
BHMBCCMKT01,577,128,10/5/2016 10:30
BHMBCCMKT01,577,148,10/5/2016 11:04
BHMBCCMKT01,577,162,10/5/2016 11:30
BHMBCCMKT01,577,178,10/5/2016 12:04
BHMBCCMKT01,577,183,10/5/2016 12:30
BHMBCCMKT01,577,175,10/5/2016 12:57
BHMBCCMKT01,577,179,10/5/2016 13:30
BHMBCCMKT01,577,174,10/5/2016 13:57
BHMBCCMKT01,577,158,10/5/2016 14:30
BHMBCCMKT01,577,145,10/5/2016 14:57
BHMBCCMKT01,577,129,10/5/2016 15:30
BHMBCCMKT01,577,121,10/5/2016 16:04
BHMBCCMKT01,577,114,10/5/2016 16:30
BHMBCCMKT01,577,58,10/6/2016 7:57
BHMBCCMKT01,577,63,10/6/2016 8:30
BHMBCCMKT01,577,70,10/6/2016 8:57
BHMBCCMKT01,577,95,10/6/2016 9:30
BHMBCCMKT01,577,135,10/6/2016 10:03
BHMBCCMKT01,577,160,10/6/2016 10:30
BHMBCCMKT01,577,177,10/6/2016 10:57
BHMBCCMKT01,577,191,10/6/2016 11:30
BHMBCCMKT01,577,199,10/6/2016 12:04
BHMBCCMKT01,577,206,10/6/2016 12:30
BHMBCCMKT01,577,198,10/6/2016 12:57
BHMBCCMKT01,577,208,10/6/2016 13:30
BHMBCCMKT01,577,200,10/6/2016 13:57
BHMBCCMKT01,577,175,10/6/2016 14:30
BHMBCCMKT01,577,158,10/6/2016 15:04
BHMBCCMKT01,577,153,10/6/2016 15:31
BHMBCCMKT01,577,135,10/6/2016 16:04
BHMBCCMKT01,577,129,10/6/2016 16:30
BHMBCCMKT01,577,58,10/7/2016 8:03
BHMBCCMKT01,577,61,10/7/2016 8:30
BHMBCCMKT01,577,75,10/7/2016 9:04
BHMBCCMKT01,577,103,10/7/2016 9:30
BHMBCCMKT01,577,128,10/7/2016 9:57
BHMBCCMKT01,577,172,10/7/2016 10:30
BHMBCCMKT01,577,188,10/7/2016 10:57
BHMBCCMKT01,577,199,10/7/2016 11:30
BHMBCCMKT01,577,210,10/7/2016 12:03
BHMBCCMKT01,577,206,10/7/2016 12:30
BHMBCCMKT01,577,200,10/7/2016 13:04
BHMBCCMKT01,577,201,10/7/2016 13:30
BHMBCCMKT01,577,193,10/7/2016 14:03
BHMBCCMKT01,577,181,10/7/2016 14:30
BHMBCCMKT01,577,172,10/7/2016 15:04
BHMBCCMKT01,577,159,10/7/2016 15:30
BHMBCCMKT01,577,158,10/7/2016 15:57
BHMBCCMKT01,577,132,10/7/2016 16:30
BHMBCCMKT01,577,58,10/8/2016 7:57
BHMBCCMKT01,577,61,10/8/2016 8:30
BHMBCCMKT01,577,75,10/8/2016 8:57
BHMBCCMKT01,577,104,10/8/2016 9:30
BHMBCCMKT01,577,158,10/8/2016 10:04
BHMBCCMKT01,577,191,10/8/2016 10:30
BHMBCCMKT01,577,223,10/8/2016 10:57
BHMBCCMKT01,577,254,10/8/2016 11:30
BHMBCCMKT01,577,306,10/8/2016 12:04
BHMBCCMKT01,577,320,10/8/2016 12:30
BHMBCCMKT01,577,348,10/8/2016 13:04
BHMBCCMKT01,577,357,10/8/2016 13:30
BHMBCCMKT01,577,395,10/8/2016 14:03
BHMBCCMKT01,577,400,10/8/2016 14:30
BHMBCCMKT01,577,395,10/8/2016 14:57
BHMBCCMKT01,577,406,10/8/2016 15:30
BHMBCCMKT01,577,381,10/8/2016 16:04
BHMBCCMKT01,577,365,10/8/2016 16:30
BHMBCCMKT01,577,42,10/9/2016 8:04
BHMBCCMKT01,577,42,10/9/2016 8:30
BHMBCCMKT01,577,43,10/9/2016 9:04
BHMBCCMKT01,577,43,10/9/2016 9:30
BHMBCCMKT01,577,50,10/9/2016 9:57
BHMBCCMKT01,577,64,10/9/2016 10:30
BHMBCCMKT01,577,100,10/9/2016 11:04
BHMBCCMKT01,577,126,10/9/2016 11:30
BHMBCCMKT01,577,148,10/9/2016 11:57
BHMBCCMKT01,577,170,10/9/2016 12:30
BHMBCCMKT01,577,189,10/9/2016 13:04
BHMBCCMKT01,577,205,10/9/2016 13:30
BHMBCCMKT01,577,208,10/9/2016 14:03
BHMBCCMKT01,577,209,10/9/2016 14:30
BHMBCCMKT01,577,191,10/9/2016 15:04
BHMBCCMKT01,577,180,10/9/2016 15:30
BHMBCCMKT01,577,155,10/9/2016 16:03
BHMBCCMKT01,577,133,10/9/2016 16:30
BHMBCCMKT01,577,54,10/10/2016 8:04
BHMBCCMKT01,577,56,10/10/2016 8:30
BHMBCCMKT01,577,65,10/10/2016 9:04
BHMBCCMKT01,577,73,10/10/2016 9:30
BHMBCCMKT01,577,92,10/10/2016 10:03
BHMBCCMKT01,577,113,10/10/2016 10:30
BHMBCCMKT01,577,144,10/10/2016 10:57
BHMBCCMKT01,577,149,10/10/2016 11:30
BHMBCCMKT01,577,159,10/10/2016 11:57
BHMBCCMKT01,577,171,10/10/2016 12:30
BHMBCCMKT01,577,176,10/10/2016 13:04
BHMBCCMKT01,577,172,10/10/2016 13:30
BHMBCCMKT01,577,161,10/10/2016 14:03
BHMBCCMKT01,577,154,10/10/2016 14:30
BHMBCCMKT01,577,137,10/10/2016 14:57
BHMBCCMKT01,577,129,10/10/2016 15:30
BHMBCCMKT01,577,130,10/10/2016 15:57
BHMBCCMKT01,577,114,10/10/2016 16:30
BHMBCCMKT01,577,56,10/11/2016 8:04
BHMBCCMKT01,577,64,10/11/2016 8:30
BHMBCCMKT01,577,74,10/11/2016 8:57
BHMBCCMKT01,577,93,10/11/2016 9:30
BHMBCCMKT01,577,129,10/11/2016 9:57
BHMBCCMKT01,577,167,10/11/2016 10:30
BHMBCCMKT01,577,200,10/11/2016 10:57
BHMBCCMKT01,577,219,10/11/2016 11:30
BHMBCCMKT01,577,225,10/11/2016 12:03
BHMBCCMKT01,577,221,10/11/2016 12:30
BHMBCCMKT01,577,217,10/11/2016 13:04
BHMBCCMKT01,577,217,10/11/2016 13:31
BHMBCCMKT01,577,208,10/11/2016 14:04
BHMBCCMKT01,577,191,10/11/2016 14:30
BHMBCCMKT01,577,167,10/11/2016 15:03
BHMBCCMKT01,577,159,10/11/2016 15:33
BHMBCCMKT01,577,150,10/11/2016 16:01
BHMBCCMKT01,577,127,10/11/2016 16:26
BHMBCCMKT01,577,51,10/12/2016 8:04
BHMBCCMKT01,577,57,10/12/2016 8:31
BHMBCCMKT01,577,64,10/12/2016 9:03
BHMBCCMKT01,577,73,10/12/2016 9:26
BHMBCCMKT01,577,99,10/12/2016 10:01
BHMBCCMKT01,577,112,10/12/2016 10:31
BHMBCCMKT01,577,127,10/12/2016 11:04
BHMBCCMKT01,577,128,10/12/2016 11:31
BHMBCCMKT01,577,143,10/12/2016 12:04
BHMBCCMKT01,577,158,10/12/2016 12:31
BHMBCCMKT01,577,157,10/12/2016 13:04
BHMBCCMKT01,577,164,10/12/2016 13:34
BHMBCCMKT01,577,167,10/12/2016 14:03
BHMBCCMKT01,577,159,10/12/2016 14:34
BHMBCCMKT01,577,140,10/12/2016 15:01
BHMBCCMKT01,577,128,10/12/2016 15:30
BHMBCCMKT01,577,121,10/12/2016 15:57
BHMBCCMKT01,577,111,10/12/2016 16:31
BHMBCCMKT01,577,58,10/13/2016 7:57
BHMBCCMKT01,577,65,10/13/2016 8:31
BHMBCCMKT01,577,76,10/13/2016 9:04
BHMBCCMKT01,577,97,10/13/2016 9:31
BHMBCCMKT01,577,127,10/13/2016 9:57
BHMBCCMKT01,577,166,10/13/2016 10:31
BHMBCCMKT01,577,200,10/13/2016 11:04
BHMBCCMKT01,577,220,10/13/2016 11:31
BHMBCCMKT01,577,230,10/13/2016 11:57
BHMBCCMKT01,577,231,10/13/2016 12:31
BHMBCCMKT01,577,214,10/13/2016 13:04
BHMBCCMKT01,577,203,10/13/2016 13:31
BHMBCCMKT01,577,205,10/13/2016 13:57
BHMBCCMKT01,577,181,10/13/2016 14:31
BHMBCCMKT01,577,162,10/13/2016 15:04
BHMBCCMKT01,577,144,10/13/2016 15:31
BHMBCCMKT01,577,132,10/13/2016 16:04
BHMBCCMKT01,577,130,10/13/2016 16:31
BHMBCCMKT01,577,53,10/14/2016 8:01
BHMBCCMKT01,577,57,10/14/2016 8:27
BHMBCCMKT01,577,67,10/14/2016 9:01
BHMBCCMKT01,577,100,10/14/2016 9:27
BHMBCCMKT01,577,134,10/14/2016 10:01
BHMBCCMKT01,577,157,10/14/2016 10:27
BHMBCCMKT01,577,205,10/14/2016 11:01
BHMBCCMKT01,577,220,10/14/2016 11:27
BHMBCCMKT01,577,224,10/14/2016 12:01
BHMBCCMKT01,577,213,10/14/2016 12:27
BHMBCCMKT01,577,205,10/14/2016 13:01
BHMBCCMKT01,577,201,10/14/2016 13:27
BHMBCCMKT01,577,182,10/14/2016 14:01
BHMBCCMKT01,577,174,10/14/2016 14:34
BHMBCCMKT01,577,171,10/14/2016 15:01
BHMBCCMKT01,577,161,10/14/2016 15:27
BHMBCCMKT01,577,138,10/14/2016 16:01
BHMBCCMKT01,577,134,10/14/2016 16:34
BHMBCCMKT01,577,53,10/15/2016 8:01
BHMBCCMKT01,577,63,10/15/2016 8:34
BHMBCCMKT01,577,77,10/15/2016 9:01
BHMBCCMKT01,577,101,10/15/2016 9:27
BHMBCCMKT01,577,154,10/15/2016 10:01
BHMBCCMKT01,577,171,10/15/2016 10:27
BHMBCCMKT01,577,211,10/15/2016 11:01
BHMBCCMKT01,577,239,10/15/2016 11:27
BHMBCCMKT01,577,276,10/15/2016 12:01
BHMBCCMKT01,577,297,10/15/2016 12:27
BHMBCCMKT01,577,332,10/15/2016 13:01
BHMBCCMKT01,577,352,10/15/2016 13:34
BHMBCCMKT01,577,391,10/15/2016 14:01
BHMBCCMKT01,577,409,10/15/2016 14:27
BHMBCCMKT01,577,442,10/15/2016 15:01
BHMBCCMKT01,577,428,10/15/2016 15:27
BHMBCCMKT01,577,412,10/15/2016 16:01
BHMBCCMKT01,577,393,10/15/2016 16:27
BHMBCCMKT01,577,48,10/16/2016 8:04
BHMBCCMKT01,577,48,10/16/2016 8:27
BHMBCCMKT01,577,55,10/16/2016 9:01
BHMBCCMKT01,577,57,10/16/2016 9:27
BHMBCCMKT01,577,57,10/16/2016 10:04
BHMBCCMKT01,577,56,10/16/2016 10:34
BHMBCCMKT01,577,56,10/16/2016 11:01
BHMBCCMKT01,577,56,10/16/2016 11:27
BHMBCCMKT01,577,65,10/16/2016 12:01
BHMBCCMKT01,577,105,10/16/2016 12:27
BHMBCCMKT01,577,131,10/16/2016 13:01
BHMBCCMKT01,577,146,10/16/2016 13:27
BHMBCCMKT01,577,170,10/16/2016 14:01
BHMBCCMKT01,577,180,10/16/2016 14:27
BHMBCCMKT01,577,192,10/16/2016 15:01
BHMBCCMKT01,577,185,10/16/2016 15:31
BHMBCCMKT01,577,173,10/16/2016 15:57
BHMBCCMKT01,577,154,10/16/2016 16:31
BHMBCCMKT01,577,50,10/17/2016 8:01
BHMBCCMKT01,577,54,10/17/2016 8:27
BHMBCCMKT01,577,66,10/17/2016 9:01
BHMBCCMKT01,577,76,10/17/2016 9:27
BHMBCCMKT01,577,112,10/17/2016 10:04
BHMBCCMKT01,577,119,10/17/2016 10:31
BHMBCCMKT01,577,144,10/17/2016 11:04
BHMBCCMKT01,577,153,10/17/2016 11:31
BHMBCCMKT01,577,159,10/17/2016 12:04
BHMBCCMKT01,577,154,10/17/2016 12:31
BHMBCCMKT01,577,154,10/17/2016 12:57
BHMBCCMKT01,577,157,10/17/2016 13:31
BHMBCCMKT01,577,161,10/17/2016 14:04
BHMBCCMKT01,577,147,10/17/2016 14:31
BHMBCCMKT01,577,133,10/17/2016 14:57
