parking_yard_id,occcupancy,last_update,capacity
P1,35,01/01/2021 12:30:46,120
P1,51,01/01/2021 13:01:09,120
P1,23,01/01/2021 13:31:15,120
P1,92,01/01/2021 14:01:09,120
P1,52,01/01/2021 14:30:40,120
P1,62,01/01/2021 14:59:52,120
P1,83,01/01/2021 15:29:39,120
P1,90,01/01/2021 16:00:07,120
P1,9,01/01/2021 16:29:10,120
P1,110,01/01/2021 16:59:56,120
P1,104,01/01/2021 17:30:26,120
P1,19,01/01/2021 17:59:32,120
P1,62,01/01/2021 18:29:04,120
P1,69,01/01/2021 18:59:56,120
P1,63,01/01/2021 19:29:36,120
P1,99,01/01/2021 19:59:24,120
P1,109,01/01/2021 20:28:47,120
P1,54,01/01/2021 20:58:50,120
P1,15,01/01/2021 21:29:01,120
P1,26,01/01/2021 21:58:51,120
P1,91,01/01/2021 22:29:35,120
P1,63,01/01/2021 23:00:16,120
P1,43,01/01/2021 23:30:37,120
P1,114,01/02/2021 00:01:16,120
P1,87,01/02/2021 00:31:47,120
P1,110,01/02/2021 01:01:32,120
P1,119,01/02/2021 01:31:53,120
P1,100,01/02/2021 02:01:13,120
P1,90,01/02/2021 02:30:50,120
P1,97,01/02/2021 03:01:24,120
P1,97,01/02/2021 03:31:36,120
P1,109,01/02/2021 04:02:22,120
P1,110,01/02/2021 04:31:32,120
P1,117,01/02/2021 05:02:16,120
P1,61,01/02/2021 05:32:42,120
P1,69,01/02/2021 06:01:52,120
P1,91,01/02/2021 06:30:57,120
P1,30,01/02/2021 07:01:27,120
P1,103,01/02/2021 07:31:38,120
P1,54,01/02/2021 08:01:24,120
P1,94,01/02/2021 08:31:14,120
P1,81,01/02/2021 09:00:17,120
P1,92,01/02/2021 09:31:14,120
P1,76,01/02/2021 10:01:20,120
P1,2,01/02/2021 10:31:14,120
P1,62,01/02/2021 11:00:47,120
P1,68,01/02/2021 11:30:40,120
P1,40,01/02/2021 12:00:50,120
P1,88,01/02/2021 12:30:18,120
P1,84,01/02/2021 13:00:28,120
P1,59,01/02/2021 13:29:50,120
P1,27,01/02/2021 14:00:29,120
P1,110,01/02/2021 14:29:37,120
P1,111,01/02/2021 14:59:30,120
P1,17,01/02/2021 15:28:59,120
