parking_yard_id,occcupancy,last_update
P1,108,2020-06-13 18:39:11
P1,64,2020-11-10 12:36:22
P1,23,2020-04-12 14:48:51
P1,66,2020-06-25 23:49:42
P1,19,2020-05-11 06:37:14
P1,84,2020-05-28 17:25:14
P1,98,2020-01-05 03:26:00
P1,118,2020-02-21 08:43:03
P1,70,2020-01-15 18:02:07
P1,9,2020-04-30 07:32:16
P1,43,2020-11-09 16:29:29
P1,84,2020-03-11 14:32:35
P1,106,2020-02-01 17:37:18
P1,24,2020-05-08 11:01:30
P1,112,2020-01-17 04:08:50
P1,118,2020-08-13 02:32:18
P1,47,2020-03-27 03:54:23
P1,114,2020-09-11 00:22:28
P1,29,2020-03-02 09:11:59
P1,76,2020-01-28 13:58:20
P1,38,2020-06-02 17:18:00
P1,94,2020-07-25 03:11:29
P1,113,2020-03-19 10:40:54
P1,23,2020-06-21 12:01:43
P1,110,2020-06-30 05:08:21
P1,85,2020-03-16 09:26:12
P1,113,2020-02-16 23:22:06
P1,52,2020-01-18 01:11:28
P1,23,2020-05-19 00:22:08
P1,98,2020-10-20 19:29:23
P1,29,2020-12-20 15:49:50
P1,89,2020-03-23 13:32:35
P1,4,2020-03-18 02:26:13
P1,18,2020-06-12 10:15:42
P1,7,2020-08-12 16:01:01
P1,35,2020-12-22 11:50:56
P1,106,2020-09-03 07:18:15
P1,77,2020-01-24 05:06:30
P1,29,2020-01-10 07:12:43
P1,98,2020-01-18 19:48:49
P1,5,2020-08-28 19:05:01
P1,84,2020-08-05 09:18:52
P1,30,2020-09-16 13:03:26
P1,26,2020-12-14 18:16:53
P1,71,2020-07-30 13:46:55
P1,36,2020-11-01 02:31:03
P1,80,2020-01-02 09:52:16
P1,49,2020-10-15 21:36:07
P1,87,2020-09-28 09:36:50
P1,1,2020-09-03 07:08:52
P1,61,2020-01-11 19:28:43
P1,14,2020-01-01 09:49:45
P1,118,2020-05-10 08:17:05
P1,65,2020-10-01 16:00:34
P1,100,2020-04-29 06:32:48
P1,28,2020-04-28 02:37:17
P1,84,2020-06-07 23:56:38
P1,78,2020-07-21 21:25:13
P1,48,2020-01-04 02:43:38
P1,5,2021-01-02 19:04:23
P1,85,2020-03-03 06:28:22
P1,112,2020-03-20 20:13:13
P1,37,2020-08-14 10:59:14
P1,103,2020-12-14 19:32:05
P1,94,2020-02-20 02:18:24
P1,41,2020-01-18 10:49:33
P1,59,2020-12-18 07:30:57
P1,33,2020-04-09 09:17:23
P1,0,2020-05-07 19:53:14
P1,62,2020-05-27 00:09:30
P1,102,2020-05-24 11:32:39
P1,107,2020-10-23 11:21:30
P1,8,2020-08-16 20:26:51
P1,114,2020-09-23 23:27:46
P1,116,2020-01-26 11:31:01
P1,44,2020-06-16 15:58:22
P1,108,2020-11-08 04:40:17
P1,18,2020-12-01 00:03:55
P1,96,2020-02-18 07:04:15
P1,101,2020-06-14 22:14:23
P1,40,2020-11-23 05:13:49
P1,16,2020-12-07 11:13:36
P1,93,2020-05-05 10:01:12
P1,39,2020-04-30 22:22:50
P1,98,2020-08-31 11:39:27
P1,65,2020-09-23 00:13:12
P1,84,2020-04-17 07:18:39
P1,14,2020-12-04 22:48:15
P1,14,2020-12-23 03:58:45
P1,94,2020-02-20 05:17:52
P1,17,2020-09-01 01:01:58
P1,31,2020-10-22 03:32:40
P1,112,2020-04-27 20:36:59
P1,83,2020-10-09 07:31:37
P1,8,2020-12-28 16:14:59
P1,47,2020-10-28 14:52:36
P1,107,2020-07-29 21:16:37
P1,41,2020-06-20 09:53:23
P1,106,2020-03-31 06:14:55
P1,43,2020-02-24 00:31:23
P1,17,2020-10-27 09:04:36
P1,95,2020-09-29 22:40:07
P1,82,2020-03-11 12:54:41
P1,14,2020-04-09 18:28:51
P1,44,2020-03-17 16:45:30
P1,35,2020-04-13 19:06:13
P1,89,2020-11-07 21:53:28
P1,114,2020-05-17 21:50:49
P1,107,2020-04-06 23:32:31
P1,52,2020-06-17 03:32:42
P1,1,2020-06-27 06:46:37
P1,97,2020-03-19 05:23:46
P1,38,2020-08-31 04:51:42
P1,5,2020-02-26 14:24:15
P1,86,2020-02-16 03:53:16
P1,72,2020-01-07 11:00:51
P1,21,2020-05-15 13:24:40
P1,52,2020-05-25 00:23:56
P1,98,2020-11-03 15:10:59
P1,7,2020-10-01 19:47:22
P1,119,2020-01-12 23:09:30
P1,50,2020-11-08 16:57:50
P1,41,2020-08-17 07:28:43
P1,96,2020-01-03 23:06:41
P1,98,2020-11-04 10:50:12
P1,3,2020-05-10 17:33:08
