parking_yard_id,occcupancy,last_update,capacity
P1,7,01/01/2021 00:30:25,120
P1,7,01/01/2021 01:00:32,120
P1,12,01/01/2021 01:31:24,120
P1,7,01/01/2021 02:02:06,120
P1,11,01/01/2021 02:32:18,120
P1,12,01/01/2021 03:01:43,120
P1,10,01/01/2021 03:32:37,120
P1,7,01/01/2021 04:01:42,120
P1,7,01/01/2021 04:32:21,120
P1,12,01/01/2021 05:02:08,120
P1,12,01/01/2021 05:32:58,120
P1,7,01/01/2021 06:02:36,120
P1,7,01/01/2021 06:33:04,120
P1,19,01/01/2021 07:02:33,120
P1,26,01/01/2021 07:31:58,120
P1,16,01/01/2021 08:02:27,120
P1,14,01/01/2021 08:32:42,120
P1,43,01/01/2021 09:01:45,120
P1,60,01/01/2021 09:32:25,120
P1,62,01/01/2021 10:02:04,120
P1,48,01/01/2021 10:31:34,120
P1,38,01/01/2021 11:01:25,120
P1,55,01/01/2021 11:30:47,120
P1,66,01/01/2021 12:00:54,120
P1,70,01/01/2021 12:30:30,120
P1,72,01/01/2021 13:01:26,120
P1,67,01/01/2021 13:30:26,120
P1,71,01/01/2021 13:59:32,120
P1,72,01/01/2021 14:29:27,120
P1,67,01/01/2021 14:59:36,120
P1,61,01/01/2021 15:30:16,120
P1,56,01/01/2021 16:01:14,120
P1,65,01/01/2021 16:31:05,120
P1,34,01/01/2021 17:00:41,120
P1,31,01/01/2021 17:30:31,120
P1,44,01/01/2021 17:59:33,120
P1,44,01/01/2021 18:29:41,120
P1,48,01/01/2021 18:59:41,120
P1,35,01/01/2021 19:30:36,120
P1,48,01/01/2021 20:01:23,120
P1,35,01/01/2021 20:32:15,120
P1,32,01/01/2021 21:02:35,120
P1,37,01/01/2021 21:32:52,120
P1,8,01/01/2021 22:02:19,120
P1,6,01/01/2021 22:32:49,120
P1,10,01/01/2021 23:03:07,120
P1,7,01/01/2021 23:34:06,120
P1,6,01/02/2021 00:03:38,120
P1,11,01/02/2021 00:34:00,120
P1,10,01/02/2021 01:03:44,120
P1,10,01/02/2021 01:33:10,120
P1,10,01/02/2021 02:03:46,120
P1,7,01/02/2021 02:33:58,120
P1,11,01/02/2021 03:04:12,120
P1,10,01/02/2021 03:33:55,120
P1,8,01/02/2021 04:04:17,120
P1,6,01/02/2021 04:33:27,120
